Brand_Model,URL,Efficiency,Range,FastCharge
SEAT Mii Electric,https://ev-database.org/car/1191/SEAT-Mii-Electric,16.2 kWh,200 km,170 km/h
Hyundai Kona Electric 64 kWh,https://ev-database.org/car/1204/Hyundai-Kona-Electric-64-kWh,16.0 kWh,400 km,350 km/h
Tesla Model Y Long Range,https://ev-database.org/car/1181/Tesla-Model-Y-Long-Range,16.8 kWh,440 km,610 km/h
Tesla Model X Long Range,https://ev-database.org/car/1198/Tesla-Model-X-Long-Range,20.7 kWh,460 km,500 km/h
Mini Cooper SE,https://ev-database.org/car/1163/Mini-Cooper-SE,15.6 kWh,185 km,270 km/h
Peugeot e-2008 SUV,https://ev-database.org/car/1206/Peugeot-e-2008-SUV,17.3 kWh,275 km,410 km/h
Skoda CITIGOe iV,https://ev-database.org/car/1190/Skoda-CITIGOe-iV,16.2 kWh,200 km,170 km/h
Volkswagen ID.3 Mid Range,https://ev-database.org/car/1202/Volkswagen-ID3-Mid-Range,16.8 kWh,345 km,480 km/h
Renault Zoe ZE50 R135,https://ev-database.org/car/1205/Renault-Zoe-ZE50-R135,16.0 kWh,325 km,240 km/h
Nissan e-NV200 Evalia,https://ev-database.org/car/1117/Nissan-e-NV200-Evalia,20.0 kWh,190 km,190 km/h
Renault Zoe R90,https://ev-database.org/car/1150/Renault-Zoe-R90,15.8 kWh,260 km,-
Citroen C-Zero,https://ev-database.org/car/1094/Citroen-C-Zero,16.1 kWh,90 km,180 km/h
Sono Sion,https://ev-database.org/car/1152/Sono-Sion,15.6 kWh,225 km,270 km/h
Porsche Taycan Cross Turismo,https://ev-database.org/car/1186/Porsche-Taycan-Cross-Turismo,22.5 kWh,400 km,730 km/h
Renault Kangoo Maxi ZE 33,https://ev-database.org/car/1101/Renault-Kangoo-Maxi-ZE-33,18.8 kWh,165 km,-
Smart EQ forfour,https://ev-database.org/car/1134/Smart-EQ-forfour,18.6 kWh,90 km,-
Tesla Model S Performance,https://ev-database.org/car/1207/Tesla-Model-S-Performance,18.6 kWh,510 km,560 km/h
Audi e-tron 50 quattro,https://ev-database.org/car/1209/Audi-e-tron-50-quattro,22.9 kWh,275 km,410 km/h
Smart EQ fortwo coupe,https://ev-database.org/car/1132/Smart-EQ-fortwo-coupe,15.9 kWh,105 km,-
Tesla Model Y Long Range Dual Motor,https://ev-database.org/car/1182/Tesla-Model-Y-Long-Range-Dual-Motor,17.4 kWh,425 km,590 km/h
Peugeot iOn,https://ev-database.org/car/1095/Peugeot-iOn,16.1 kWh,90 km,180 km/h
Kia e-Niro 39 kWh,https://ev-database.org/car/1137/Kia-e-Niro-39-kWh,16.3 kWh,240 km,230 km/h
BMW i3s 120 Ah,https://ev-database.org/car/1149/BMW-i3s-120-Ah,16.5 kWh,230 km,260 km/h
Tesla Model Y Long Range Performance,https://ev-database.org/car/1183/Tesla-Model-Y-Long-Range-Performance,18.5 kWh,400 km,560 km/h
Tesla Model X Performance,https://ev-database.org/car/1208/Tesla-Model-X-Performance,21.3 kWh,445 km,490 km/h
Kia e-Soul 39 kWh,https://ev-database.org/car/1169/Kia-e-Soul-39-kWh,17.0 kWh,230 km,220 km/h
Smart EQ fortwo cabrio,https://ev-database.org/car/1133/Smart-EQ-fortwo-cabrio,17.6 kWh,95 km,-
Byton M-Byte 95 kWh,https://ev-database.org/car/1235/Byton-M-Byte-95-kWh,23.8 kWh,400 km,520 km/h
Honda e Advance,https://ev-database.org/car/1233/Honda-e-Advance,16.0 kWh,200 km,270 km/h
